skills,experience,similarity,eligibility,salary
5,7,0.63,1,2100
5,5,0.08,0,1500
7,2,0.76,1,1900
7,9,0.43,1,2400
7,6,0.54,1,2200
1,6,0.5,0,1300
8,0,0.29,0,1200
6,4,0.09,0,1500
1,0,0.28,0,1100
3,7,0.54,0,1700
2,0,0.67,0,1000
3,2,0.47,0,1200
7,2,0.08,0,1300
6,8,0.22,0,1700
6,6,0.26,0,1600
9,0,0.32,0,1400
3,10,0.62,1,2500
5,5,0.34,0,1600
3,3,0.12,0,1200
8,7,0.46,1,2100
10,6,0.48,1,2300
2,6,0.76,0,1400
4,4,0.4,0,1600
1,7,0.09,0,1300
4,4,0.9,1,2300
6,2,0.85,1,2000
5,5,0.13,0,1500
10,5,0.44,1,2200
5,5,0.76,1,2100
8,10,0.61,1,2400
6,6,0.11,0,1600
2,1,0.91,0,1200
1,7,0.64,0,1300
9,10,0.9,1,2700
7,3,0.26,0,1400
1,1,0.93,0,1100
2,0,0.01,0,1000
8,9,0.69,1,2300
7,9,0.23,0,1600
9,9,0.37,0,1700
3,2,0.25,0,1200
6,9,0.41,0,1500
9,0,0.52,0,1300
8,7,0.37,0,1600
8,2,0.41,1,2000
2,9,0.29,0,1100
6,9,0.37,0,1500
8,7,0.25,0,1400
1,5,0.82,0,1700
9,1,0.69,1,2100
10,6,0.8,1,2400
9,8,0.76,1,2300
8,1,0.48,1,2000
2,9,0.06,0,1200
1,10,0.09,0,1000
2,10,0.62,0,1400
5,0,0.42,0,1100
6,5,0.14,0,1200
4,3,0.56,0,1500
7,6,0.67,1,2000
6,5,0.42,0,1300
8,8,0.36,0,1600
3,0,0.64,0,1200
10,6,0.76,1,2300
10,6,0.43,1,2100
9,9,0.46,1,2200
4,0,0.35,0,1000
8,3,0.86,1,2500
2,10,0.58,0,1400
5,1,0.33,0,1200
10,8,0.42,1,2300
9,5,0.81,1,2200
7,8,0.67,1,2100
1,7,0.89,0,1300
5,0,0.53,0,1100
10,2,0.11,0,1000
4,8,0.67,1,2100
6,6,0.55,1,2200
1,5,0.61,0,1200
9,5,0.4,1,1700
10,2,0.84,1,2400
10,7,0.44,1,2100
9,1,0.7,1,2200
8,5,0.9,1,2500
9,6,0.04,0,1000
6,3,0.41,0,1300
4,8,0.25,0,1200
9,10,0.87,1,2600
5,10,0.3,0,1100
2,8,0.15,0,1200
5,5,0.79,1,2300
5,1,0.88,0,1200
6,5,0.12,0,1100
7,8,0.14,0,1000
10,8,0.74,1,2500
10,6,0.88,1,2700
10,3,0.58,1,2200
7,6,0.2,0,1300
5,5,0.86,1,2400
4,5,0.03,0,1000
9,6,0.89,1,2600
6,5,0.76,1,2300
7,2,0.02,0,1000
5,9,0.6,1,2200
8,1,0.89,1,2500
9,2,0.22,0,1100
6,10,0.01,0,1000
3,1,0.67,0,1300
1,8,0.56,0,1200
8,7,0.27,0,1100
1,5,0.07,0,1000
1,6,0.25,0,1100
5,4,0.31,0,1200
7,3,0.92,1,2500
4,3,0.66,1,2300
6,6,0.69,1,2400
6,0,0.09,0,1000
8,8,0.35,0,1100
9,8,0.08,0,1200
5,8,0.66,1,2300
5,2,0.77,1,2400
1,2,0.65,0,1200
1,8,0.65,0,1300
4,2,0.91,1,2500
7,2,0.11,0,1100
4,4,0.01,0,1000
3,3,0.92,1,2500
3,4,0.08,0,1200
8,8,0.22,0,1100
8,9,0.34,0,1200
1,7,0.74,0,1300
2,2,0.35,0,1000
10,2,0.02,0,1000
6,9,0.16,0,1100
8,8,0.94,1,2700
6,0,0.49,0,1000
2,10,0.59,0,1400
1,2,0.51,0,1200
5,1,0.8,0,1300
3,4,0.28,0,1100
2,5,0.69,0,1200
6,0,0.64,0,1100
1,1,0.31,0,1000
6,10,0.64,1,2400
8,7,0.23,0,1100
6,7,0.64,1,2200
6,1,0.83,0,1300
9,6,0.75,1,2400
6,8,0.75,1,2500